0.0     4.00000	0.33
0.15    4.00000	0.33
0.3     3.99998	0.33
0.45    3.99941	0.33
0.5     3.99887	0.33
0.55    3.99811	0.33
0.6     3.99712	0.33
0.65    3.99592	0.33
0.7     3.99458	0.33
0.73    3.99373	0.33
0.78    3.99228	0.33
0.8     3.99171	0.33
0.84    3.99061	0.33
0.87    3.98984	0.33
0.9     3.98915	0.33
0.95    3.98822	0.33
1.0     3.98767	0.33
1.03    3.98758	0.33
1.07    3.98781	0.33
1.1     3.98829	0.33
1.13    3.98908	0.33
1.15    3.98982	0.33
1.16    3.99025	0.33
1.164   3.99044	0.33
-------AF->PM--(1ª Ordem)

-----AF->AF----(1ª Ordem)
1.164   3.99044	0.33
1.165   3.99048	0.33
1.17    3.99072	0.33
1.18    3.99119	0.33
1.2     3.99208	0.33
1.22    3.99294	0.33
1.23    3.99335	0.33
1.24    3.99375	0.33
1.25    3.99413	0.33
1.27    3.99488	0.33
1.30    3.99593	0.33
1.32    3.99658	0.33
1.33    3.99689	0.33
1.335   3.99705	0.33
---------------


----AF-->PM---- (2ª Ordem)
1.164   3.99044	0.33
1.16504 3.99100	0.33
1.16688 3.99200	0.33
1.17245 3.99500	0.33
1.17655 3.99720	0.33
1.17711 3.99750	0.33
1.17805 3.99800	0.33
1.17969 3.99888	0.33
1.18180 4.00	0.33
1.20079 4.01	0.33
1.22018 4.02	0.33
1.28106 4.05	0.33
1.4     4.10273	0.33
1.5     4.14126	0.33
1.6     4.17500	0.33
1.7     4.20400	0.33
1.8     4.22700	0.33
1.9     4.24600	0.33
2.0     4.26100	0.33
2.1     4.27000	0.33
2.2     4.27500	0.33
2.3     4.27600	0.33
2.4     4.27200	0.33
2.5     4.26300	0.33
2.6     4.25000	0.33
2.7     4.23300	0.33
2.8     4.21000	0.33
2.9     4.18300	0.33
3.0     4.15100	0.33
3.1     4.11400	0.33
3.2     4.07200	0.33
3.3     4.02500	0.33
3.4     3.97200	0.33
3.5     3.91300	0.33
3.6     3.84800	0.33
3.7     3.77800	0.33
3.8     3.70000	0.33
3.9     3.61500	0.33
4.0     3.52300	0.33
4.1     3.42300	0.33
4.2     3.31300	0.33
4.3     3.19400	0.33
4.4     3.06400	0.33
4.5     2.92000	0.33
4.6     2.76300	0.33
4.7     2.58800	0.33
4.8     2.39200	0.33
4.9     2.17000	0.33
5.0     1.91100	0.33
5.03800     1.8	0.33
5.07000     1.7	0.33
5.10000     1.6	0.33
5.12800     1.5	0.33
5.16600     1.35	0.33
5.20900     1.15	0.33
5.23700     1.0	0.33
5.26000     0.85	0.33
5.28600     0.65	0.33
5.30000     0.5	0.33
5.31100     0.35	0.33
5.31900     0.15	0.33
5.32100     0.0	0.33
---------------
