 0.0	7.72100	0.0
0.1	7.72000 	0.0
0.2	7.71400 0.0
0.3	7.70500 0.0
0.4	7.69200 0.0
0.5	7.67500 0.0
0.6	7.65500    0.0
0.7	7.63100    0.0
0.80600	7.6     0.0
0.9	7.57000    0.0
1.0	7.53300 0.0
1.12640	7.48    0.0
1.2	7.44700    0.0
1.3	7.39600    0.0
1.38400	7.35    0.0
1.5	7.28100 0.0
1.6	7.21500    0.0
1.69100	7.15    0.0
1.8	7.06500    0.0
1.87800	7.0     0.0
2.0	6.88800 0.0
2.08700	6.8     0.0
2.18000	6.7     0.0
2.34300	6.5     0.0
2.45	6.35    0.0
2.5	6.27400 0.0
2.57600	6.15    0.0
2.65900	6.00    0.0
2.72300	5.87    0.0
2.77800	5.75    0.0
2.8     	5.69700 0.0
2.85	5.56876 0.0
2.86	5.54162 0.0
2.87	5.51384 0.0
2.88	5.48540 0.0    2ª Ordem
2.881   5.48165 0.0     1ª Ordem
2.885	5.47019 0.0
2.89   	5.45584 0.0 
2.9	5.42710 0.0
3.0	5.13616 0.0
3.20947	4.5     0.0
3.36307	4.0     0.0
3.50454	3.5     0.0
3.63157	3.0     0.0
3.74200	2.5     0.0
3.83403	2.0     0.0
3.90639	1.5     0.0
3.95835	1.0     0.0
3.98958	0.5     0.0
4.0	0.0     0.0
