0.500000    -0.3	0.0
0.500000    -0.3	0.1	
0.500000    -0.3	0.2
0.500000    -0.3	0.3
0.500001    -0.3	0.4
0.500004    -0.3	0.5
0.500007    -0.3	0.6
0.500014    -0.3	0.7
0.500023    -0.3	0.8
0.500037    -0.3	0.9
0.500057    -0.3	1.0
0.500083    -0.3	1.1
0.500118    -0.3	1.2
0.500162    -0.3	1.3
0.500218    -0.3	1.4
0.500288    -0.3	1.5
0.500374    -0.3	1.6
0.500479    -0.3	1.7
0.500605    -0.3	1.8
0.500755    -0.3	1.9
0.500935    -0.3	2.0
0.501147    -0.3	2.1
0.501398    -0.3	2.2
0.501695    -0.3	2.3
0.502045    -0.3	2.4
0.502460    -0.3	2.5
0.502955    -0.3	2.6
0.503549    -0.3	2.7
0.504000    -0.3	2.76458
0.505000    -0.3	2.84652
