0.0     4.00000
0.5     3.99989
0.65    3.99914
0.8     3.99695
1.0     3.99087
1.15    3.98404
1.35    3.97295
1.5     3.96426
1.6     3.95885
1.65    3.95640
1.7     3.95416
1.75    3.95220
1.8     3.95057
1.85    3.94933
1.9     3.94855
1.95    3.94831
2.0     3.94871
2.05    3.94987
2.1     3.95197
2.125   3.95347
2.15    3.95533
2.175   3.95767
2.19    3.95940
2.192   3.95966


----AF-->AF----
2.192   3.95966
2.195   3.96007
2.196   3.96021
2.19809 3.96050
---------------




2.192   3.95966
2.19482 3.96020
2.19634 3.96050
2.199   3.96103
2.2     3.96122
2.3     3.97875
2.35    3.98600
2.4     3.99223
2.45    3.99746
2.5     4.00168
2.55    4.00490
2.6     4.00711
2.65    4.00831
2.7     4.00851
2.75    4.00769
2.8     4.00586
2.85    4.00302
2.9     3.99914
2.95    3.99424
3.0     3.98900
3.1     3.97400
3.15    3.96500
3.3     3.93100
3.4     3.90300
3.5     3.87100
3.68000     3.8
3.88500     3.7
4.0     3.63500
4.20200     3.5
4.33200     3.4
4.5     3.25300
4.65200     3.1
4.78400     2.95
4.90200     2.8
5.0     2.66100
5.10300     2.5
5.16200     2.4
5.24300     2.25
5.31700     2.1
5.38300     1.95
5.44300     1.8
5.5     1.64200
5.54600     1.5
5.58900     1.35
5.62700     1.2
5.66000     1.05
5.68900     0.9
5.71300     0.75
5.73200     0.6
5.74700     0.45
5.75700     0.3
5.76400     0.15
5.76600     0.0
