0.0    4.00500
0.05    4.11200
0.1     4.18900
0.15    4.25200
0.2     4.30700
0.25    4.35400
0.3     4.39600
0.35    4.43400    
0.42    4.47900
0.5    4.52300
0.57    4.55500
0.65    4.58600
0.68    4.59600
0.8     4.62600
0.9     4.64300
1.0    4.65100
1.08    4.65200
1.15    4.64900
1.25    4.63900
1.35    4.62300
1.45    4.59900
1.5    4.58400
1.65    4.53100
1.8     4.46200
2.0    4.34400
2.15    4.23700
2.35    4.06400
2.5    3.91200
2.65    3.73600
2.74    3.61900
2.8     3.53500
2.92    3.35200
3.0    3.21800
3.08    3.07200
3.15    2.93300
3.23    2.76100
3.3     2.59500
3.35    2.46700
3.42    2.27000
3.5    2.01400
3.55800     1.8
3.59400     1.65
3.62700     1.5
3.65600     1.35
3.69000     1.15
3.71100     1.0
3.73500     0.8
3.75000     0.65
3.76100     0.5
3.76900     0.35
3.77600     0.15
3.77700     0.0
