0.0     4.00000
0.001   4.00400
0.05    4.10200
0.1     4.16800
0.2     4.26100
0.3     4.32500
0.4     4.36800
0.5     4.39500
0.6     4.40900
0.7     4.41200
0.8     4.40500
0.9     4.39100
1.0     4.36800
1.1     4.33800
1.2     4.30200
1.3     4.25900
1.4     4.20900
1.5     4.15300
1.6     4.08900
1.7     4.01800
1.8     3.94000
1.9     3.85300
2.0     3.75700
2.1     3.65200
2.2     3.53600
2.3     3.40900
2.4     3.26900
2.5     3.11500
2.56900     3.0
2.67700     2.8
2.75000     2.65
2.81700     2.5
2.89700     2.3
2.95100     2.15
3.00100     2.0
3.06000     1.8
3.10000     1.65
3.13600     1.5
3.17700     1.3
3.20400     1.15
3.22700     1.0
3.25300     0.8
3.26900     0.65
3.28100     0.5
3.29300     0.3
3.29700     0.15
3.29900     0.0
