1.335   3.99705	1	1
1.36    3.99319	2	0.5
1.336   3.98760	4	0.25
1.337   3.97976	8	0.125
1.344   3.97718	12	0.083333
1.288  3.96690		16	0.0625
1.276   3.96225 	24	0.0416666
