0.0     4.00000
0.15    4.00000
0.175   3.99999
0.2     3.99997
0.215   3.99994
0.235   3.99988
0.25    3.99981
0.265   3.99972
0.28    3.99960
0.3     3.99941
0.325   3.99911
0.35    3.99876
0.375   3.99837
0.4     3.99796
0.425   3.99757
0.45    3.99722
0.46    3.99710
0.47    3.99699
0.48    3.99690
0.49    3.99683
0.5     3.99678
0.51    3.99675
0.52    3.99675
0.53    3.99678
0.54    3.99684
0.55    3.99694
0.56    3.99707
0.57    3.99725
0.58    3.99747
0.58055 3.99748



----AF-->AF----
0.799   3.99995
0.79    3.99992
0.78    3.99989
0.77    3.99985
0.76    3.99981
0.75    3.99976
0.74    3.99970
0.73    3.99964
0.72    3.99957
0.71    3.99949
0.7     3.99940
0.69    3.99930
0.675   3.99914
0.66    3.99895
0.645   3.99874
0.63    3.99850
0.615   3.99823
0.6     3.99792
0.595   3.99781
0.59    3.99770
0.585   3.99759
0.58055 3.99748
----------------




0.58055 3.99748
0.58058     3.9975
0.58070     3.9976
0.58118     3.998
0.58360     4.000
0.58968     4.005
0.60819     4.02
0.63354     4.04
0.65971     4.06
0.7     4.08956
0.8     4.15685
0.9     4.21614
1.0     4.26808
1.1     4.31315
1.2     4.35175
1.3     4.38420
1.4     4.41075
1.5     4.43200
1.6     4.44690
1.7     4.45678
1.8     4.46132
1.9     4.46060
2.0     4.45500
2.1     4.44344
2.2     4.42702
2.3     4.40534
2.4     4.37833
2.5     4.34600
2.6     4.30800
2.7     4.26500
2.8     4.21600
2.9     4.16000
3.0     4.09900
3.15    3.99400
3.35    3.83000
3.5     3.68600
3.66800     3.5
3.78800     3.35
3.89700     3.2
4.0     3.04200
4.11300     2.85
4.19300     2.7
4.26600     2.55
4.33200     2.4
4.39400     2.25
4.45000     2.1
4.5     1.95100
4.54700     1.8
4.58900     1.65
4.62700     1.5
4.66100     1.35
4.69100     1.2
4.71700     1.05
4.74000     0.9
4.75800     0.75
4.77400     0.6
4.78600     0.45
4.79400     0.3
4.79900     0.15
4.80100     0.0
