0.0     0.1	3.23600	
0.1     0.1	2.80700
0.2     0.1	2.36700
0.3     0.1	1.91100
0.4     0.1	1.42400
0.425   0.1	1.29200
0.4275  0.1	1.27900
0.5     0.1	0.82600
