0.500000    -0.1	0.0
0.500000    -0.1	0.1
0.500001    -0.1	0.2
0.500003    -0.1	0.3
0.500009    -0.1	0.4
0.500022    -0.1	0.5
0.500046    -0.1	0.6
0.500086    -0.1	0.7
0.500148    -0.1	0.8
0.500239    -0.1	0.9
0.500370    -0.1	1.0
0.500550    -0.1	1.1
0.500794    -0.1	1.2
0.501122    -0.1	1.3
0.501560    -0.1	1.4
0.502141    -0.1	1.5
0.503000    -0.1	1.60798
0.504000    -0.1	1.69943
0.505000    -0.1	1.76784
0.506000    -0.1	1.82060
0.507000    -0.1	1.86170
0.508000    -0.1	1.89363
0.509       -0.1	1.91770
