0.0     4.00000
0.5     3.99996
1.0     3.99417
1.5     3.97191
2.0     3.94843     (1ª Ordem)
2.4     3.95487
2.4035  3.95523

----AF-AF----   (1ª Ordem)
2.423   3.95731
2.422   3.95720
2.421   3.95709
2.42    3.95699
2.41365     3.95631
2.40896     3.95581
2.40660     3.95556
2.40520     3.95541
2.40440     3.95533
2.4035  3.95523
-------------


2.4035  3.95523     (2ª Ordem)
2.40441     3.95542
2.40524     3.95560
2.40663     3.95590
2.40896     3.95640
2.41365     3.95740
2.42    3.95875
2.45    3.96488
2.5     3.97435
3.0     4.01800
3.5     3.96700
4.0     3.81400
4.5     3.54400
4.56400     3.5
5.11400     3.0
5.48400     2.5
5.74800     2.0
5.93600     1.5
6.06300     1.0
6.13700     0.5
6.16100     0.0
