0.0     4.00000
0.4     3.99993
0.45    3.99982
0.5     3.99960
0.55    3.99923
0.6     3.99868
0.65    3.99792
0.7     3.99694
0.75    3.99574
0.8     3.99435
0.85    3.99279
0.9     3.99110
0.95    3.98931
1.0     3.98748
1.05    3.98567
1.1     3.98392
1.15    3.98231
1.175   3.98158
1.2     3.98090
1.225   3.98029
1.25    3.97976
1.275   3.97933
1.3     3.97899
1.325   3.97876
1.35    3.97866
1.375   3.97870
1.4     3.97890
1.425   3.97928
1.45    3.97985
1.475   3.98065
1.5     3.98170
1.51    3.98220
1.52    3.98275
1.5335  3.98357




----AF-->AF----
1.5335  3.98357
1.53374     3.98359
1.55    3.98464
1.575   3.98620
1.6     3.98771
1.625   3.98917
1.65    3.99057
1.655   3.99085
1.657   3.99096
---------------



1.5335  3.98357
1.53374     3.98367
1.53452     3.984
1.53687     3.985
1.54874     3.99
1.56077    3.99500
1.58    4.00285
1.6     4.01082
1.625   4.02052
1.65    4.02992
1.66    4.03360
1.68    4.04082
1.7     4.04786
1.8     4.08027
1.9     4.10817
2.0     4.13164
2.1     4.15075
2.2     4.16556
2.3     4.17611
2.4     4.18241
2.5     4.18500
2.6     4.18232
2.7     4.17590
2.8     4.16519
2.9     4.15015
3.0     4.13100
3.1     4.10684
3.2     4.07840
3.3     4.04530
3.4     4.00741
3.5     3.96500
3.65    3.89100
3.8     3.80500
4.0     3.67000
4.20900     3.5
4.36700     3.35
4.5     3.20800
4.59100     3.1
4.70700     2.95
4.81200     2.8
4.90700     2.65
5.0     2.48600
5.04600     2.4
5.12000     2.25
5.18700     2.1
5.24800     1.95
5.30300     1.8
5.35300     1.65
5.39700     1.5
5.43700     1.35
5.47200     1.2
5.5     1.06400
5.52900     0.9
5.55100     0.75
5.56900     0.6
5.58300     0.45
5.59300     0.3
5.59900     0.15
5.60100     0.0
