0.6     0.1	1.37936	0.63    1.55472 
0.62    0.1	1.49663
0.63    0.1	1.55472     primeira
0.7     0.1	1.92300     segunda
0.8     0.1	2.38300
0.9     0.1	2.81400
1.0     0.1	3.23100
