0.0     0.0     3.50000
0.0     0.15    3.49800
0.0     0.3     3.49200
0.0     0.45    3.48200
0.0     0.6     3.46800
0.0     0.75    3.44900
0.0     0.9     3.42600
0.0     1.0     3.40800
0.0     1.1     3.38800
0.0     1.25    3.35400
0.0     1.4     3.31600
0.0     1.5     3.28700
0.0     1.6     3.25600
0.0     1.7     3.22200
0.0     1.8     3.18600
0.0     1.95    3.12600
0.0     2.1     3.05900
0.0     2.22000     3.0
0.0     2.40200     2.9
0.0     2.63600     2.75
0.0     2.83200     2.6
0.0     2.99800     2.45
0.0     3.13900     2.3
0.0     3.25800     2.15
0.0     3.35800     2.0
0.0     3.41600     1.9
0.0     3.48900     1.75
0.0     3.54700     1.6
0.0     3.59300     1.45
0.0     3.62700     1.3
0.0     3.65100     1.15
0.0     3.66600     1.0
0.0     3.67400     0.85
0.0     3.67800     0.7
0.0     3.67900     0.5
0.0     3.67900     0.45
0.0    3.67900     0.3
0.0     3.67900     0.15
0.0     3.67900     0.0
