7.83200     0.0     2.0
7.82900     0.15    2.0
7.82000     0.3     2.0
7.80500     0.45    2.0
7.78500     0.6     2.0
7.75800     0.75    2.0
7.72500     0.9     2.0
7.69900     1.0     2.0
7.65500     1.15    2.0
7.60400     1.3     2.0
7.54600     1.45    2.0
7.48000     1.6     2.0
7.40500     1.75    2.0
7.32100     1.9     2.0
7.26000     2.0     2.0
7.15800     2.15    2.0
7.04400     2.3     2.0
6.91600     2.45    2.0
6.77200     2.6     2.0
6.60600     2.75    2.0
6.41500     2.9     2.0
6.26800     3.0     2.0
6.10200     3.1     2.0
5.90800     3.2     2.0
5.67300     3.3     2.0
5.5     3.35995     2.0 
5.36400     3.4     2.0
5.2     3.43996     2.0
5.1     3.46020     2.0 (2ª Ordem)
5.08    3.46344     2.0 (1ª Ordem)
5.05    3.46896     2.0
5.0     3.47812     2.0
4.9     3.49623     2.0
4.75    3.52283     2.0
4.6     3.54873     2.0
4.45    3.57385     2.0
4.3     3.59814     2.0
4.15    3.62155     2.0
4.0     3.64401     2.0
3.9     3.65843     2.0
3.75    3.67916     2.0
3.6     3.69879     2.0
3.45    3.71724     2.0
3.3     3.73445     2.0
3.15    3.75037     2.0
3.0     3.76496     2.0
2.9     3.77391     2.0
2.75    3.78618     2.0
2.6     3.79701     2.0
2.45    3.80641     2.0
2.3     3.81438     2.0
2.15    3.82096     2.0
2.0     3.82662     2.0
1.9     3.82903     2.0
1.75    3.83230     2.0
1.6     3.83457     2.0
1.45    3.83602     2.0
1.3     3.83684     2.0
1.15    3.83724     2.0
1.0     3.83740     2.0
0.0     3.83744     2.0

